Country Name,Country Code,Series Name,Series Code,1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Afghanistan,AFG,"Population, total",SP.POP.TOTL,9951449,10243686,10512221,10448442,10322758,10383460,10673168,10694796,10745167,12057433,14003760,15455555,16418912,17106595,17788819,18493132,19262847,19542982,19688632,21000256,22645130,23553551,24411191,25442944,25903301,26427199,27385307,28189672,29249157,30466479,31541209,32716210,33753499,34636207,35643418,36686784,37769499,38972230,40099462,41128771,42239854
Afghanistan,AFG,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,Scientific and technical journal articles,IP.JRN.ARTC.SC,..,..,..,..,..,..,..,..,..,..,..,..,..,0.13,0,2.73,0.67,4,1,5.5,7.34,6.75,9.15,14.86,13.23,12.5,26.14,27.68,41.87,34.65,27.24,35.01,21.19,60.99,73.28,87.7,133.29,119.74,..,..,..
Afghanistan,AFG,Urban population,SP.URB.TOTL,1766084,1881253,1997007,2052805,2096965,2180319,2250758,2264837,2285067,2574865,3002966,3328199,3550426,3714526,3878852,4049071,4235130,4314700,4364773,4674867,5061866,5299549,5542073,5828215,5987030,6162823,6443215,6691382,7004588,7360701,7687539,8043935,8371880,8665979,8999963,9353296,9727157,10142913,10551772,10946834,11376460
Afghanistan,AFG,Value lost due to electrical outages (% of sales for affected firms),IC.FRM.OUTG.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6.5,..,..,..,..,..,9.6,..,..,..,..,..,..,..,..,..
Algeria,DZA,Gini index,SI.POV.GINI,..,..,..,..,..,40.2,..,..,..,..,..,..,35.3,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,27.6,..,..,..,..,..,..,..,..,..,..,..,..
Algeria,DZA,Adolescents out of school (% of lower secondary school age),SE.SEC.UNER.LO.ZS,..,39.01818848,..,..,..,..,..,..,..,..,..,..,24.52329063,25.11433029,21.92865944,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.757019997
Algeria,DZA,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,..,..,..
Algeria,DZA,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Algeria,DZA,"Compulsory education, duration (years)",SE.COM.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Algeria,DZA,Control of Corruption: Estimate,CC.EST,..,..,..,..,..,..,..,..,..,..,..,..,..,-0.56674093,..,-0.916649282,..,-0.987298191,..,-0.928754985,-0.715244472,-0.699272692,-0.466420472,-0.564962566,-0.592309475,-0.633444846,-0.614938259,-0.552147269,-0.572699666,-0.521544516,-0.472622782,-0.612656415,-0.639073312,-0.673416734,-0.598509312,-0.658660114,-0.655895114,-0.666460216,-0.635657609,-0.637929857,..
Algeria,DZA,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,425.971991,448.9207718,472.7802338,489.9365906,459.0415347,485.8718498,526.6878127,536.6000585,537.9219064,565.6433606,553.6235638,556.4304206,565.4184831,576.0638551,580.9126744,624.0336568,658.7670639,689.2367578,714.7851262,736.1335584,791.523977,808.6081082,895.8423919,867.7413064,899.1041533,951.7034508,869.7001881,1020.070535,1126.957018,1242.063895,1283.610433,1368.621519,..,..,..,..,..,..,..,..,..
Algeria,DZA,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..
Algeria,DZA,Expenditure on primary education (% of government expenditure on education),SE.XPD.PRIM.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Algeria,DZA,Expenditure on secondary education (% of government expenditure on education),SE.XPD.SECO.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Algeria,DZA,Expenditure on tertiary education (% of government expenditure on education),SE.XPD.TERT.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,26.97261,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Algeria,DZA,GDP (constant 2015 US$),NY.GDP.MKTP.KD,80442600430,84947383263,88090434112,88442796731,87823699342,86945457527,90771059536,91497228539,90399261261,92026450045,90093893897,89283051958,92675803281,96475509798,97536740347,1.02511E+11,1.05791E+11,1.09812E+11,1.13106E+11,1.19214E+11,1.26963E+11,1.32676E+11,1.3984E+11,1.43896E+11,1.48356E+11,1.52065E+11,1.5389E+11,1.61277E+11,1.66115E+11,1.70102E+11,1.74525E+11,1.8168E+11,1.87494E+11,1.94806E+11,1.97728E+11,2.00496E+11,2.02301E+11,1.92186E+11,1.99489E+11,2.0667E+11,2.15144E+11
Algeria,DZA,GDP (current US$),NY.GDP.MKTP.CD,48801369800,53698548293,57937868670,63692007897,66745818375,59089396860,55634721573,62048507531,45715676428,48003133347,49945584453,42543176829,41764291672,46941554225,48177612042,48187781984,48640671735,54790398570,59413400924,61516103406,73482264191,91913680985,1.07047E+11,1.23084E+11,1.42483E+11,1.80384E+11,1.50317E+11,1.77785E+11,2.18332E+11,2.27144E+11,2.29701E+11,2.38943E+11,1.87494E+11,1.80764E+11,1.89881E+11,1.94554E+11,1.9346E+11,1.64873E+11,1.86265E+11,2.2556E+11,2.39899E+11
Algeria,DZA,Individuals using the Internet (% of population),IT.NET.USER.ZS,..,..,..,..,..,..,..,0,0,0,0,0.000360674,0.001768954,0.001738533,0.010268463,0.020238555,0.199523843,0.491705679,0.646114017,1.59164126,2.195359731,4.634475088,5.843942092,7.375984956,9.451190626,10.18,11.23,12.5,14.9,18.2,22.5,29.5,38.2,42.94552688,47.69105515,49.03846808,58.97757455,63.94999611,70.77,..,..
Algeria,DZA,"International tourism, number of arrivals",ST.INT.ARVL,..,..,..,..,..,..,..,..,..,..,..,..,520000,605000,635000,678000,749000,866000,901000,988000,1166000,1234000,1443000,1638000,1743000,1772000,1912000,2070000,2395000,2634000,2733000,2301000,1710000,2039000,2451000,2657000,2371000,591000,..,..,..
Algeria,DZA,"Labor force, total",SL.TLF.TOTL.IN,..,..,..,..,..,..,..,..,6633340,6870956,7149879,7429272,7681165,7968414,8233015,8477091,8701391,8926622,9145785,9355943,9556009,9747177,9916026,10077549,10244513,10402784,10551825,10832192,11067848,11293832,11793700,11279335,11709257,11918706,12069182,12225526,12402025,11881326,12202063,13023244,13425064
Algeria,DZA,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,1.951213252,1.755124007,1.643706897,1.787213666,1.856376277,1.749698749,1.540123779,1.461070586,1.210834059,2.14013213,2.505631577,3.146430012,2.935027107,3.094088396,3.637403468,3.965673788,3.755079983,3.433385635,3.820695463,3.700829359,3.251210893,3.283884523,2.83417835,2.643807548,2.923321027,3.024747141,3.848513698,3.518012609,4.325706359,4.46107862,4.844508917,5.548483336,6.270242856,6.384928983,5.924383327,5.483588701,5.999690259,6.692468397,5.585446668,4.779438286,..
Algeria,DZA,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,0,0,0,0,0,0,0,0.001841832,0.018294243,0.017874031,0.017478039,0.004825141,0.016472352,0.040366216,0.059031014,0.060151043,0.237262911,0.279451045,0.320502702,1.423710128,4.51376415,15.0181054,41.45244865,62.80216467,81.10540402,78.19436226,92.99292417,91.42082361,97.46161442,100.7169538,103.9905106,111.7079111,109.3176407,116.6140394,111.4475314,112.4675177,106.3696091,104.842178,106.4235366,109.1653573,..
Algeria,DZA,"Persistence to last grade of primary, total (% of cohort)",SE.PRM.PRSL.ZS,83.67687988,86.75241089,93.40943909,90.3184967,90.78897095,88.2722702,89.8335495,90.19316101,90.25058746,88.61171722,90.12673187,88.15048218,89.85800934,90.38332367,..,92.03945923,91.45581055,94.56372833,93.48474121,94.51693726,93.46224213,93.20313263,90.91963959,92.01125336,92.95233154,..,95.03897095,94.5525589,92.76751709,96.20979309,93.41300201,93.80045319,93.59851074,94.8499527,96.26500702,91.55725098,..,88.96552277,92.67938232,..,..
Algeria,DZA,"Population ages 0-14, total",SP.POP.0014.TO,9438480,9697367,9956659,10204818,10426960,10621339,10792000,10934367,11061558,11186606,11291154,11358252,11361220,11245512,11037028,10823516,10619510,10413266,10210933,10018934,9850680,9718834,9624314,9573291,9572368,9622867,9726992,9886094,10100229,10370488,10700395,11074025,11468788,11874029,12279473,12665338,13013432,13316668,13567972,13759806,13886736
Algeria,DZA,"Population ages 15-64, total",SP.POP.1564.TO,10615287,11049456,11508322,11985995,12442958,12880345,13329909,13789483,14250380,14710931,15182962,15668783,16176902,16727703,17309467,17887221,18466896,19055389,19637295,20206328,20759991,21301420,21799276,22287052,22796543,23293706,23777487,24238179,24667114,25063165,25412579,25723551,26021777,26311329,26594763,26884238,27191521,27520307,27878915,28275097,28705840
Algeria,DZA,"Population ages 65 and above, total",SP.POP.65UP.TO,628345,646706,667925,691740,716183,741334,767598,794224,821967,850766,880211,909972,939900,1011420,1129536,1213931,1259677,1305966,1352757,1399434,1445212,1489931,1533099,1574737,1614916,1653019,1691558,1732072,1776198,1826911,1887652,1962592,2052589,2153971,2262310,2377432,2500415,2614691,2731082,2868322,3013903
Algeria,DZA,Population growth (annual %),SP.POP.GROW,3.353205019,3.381941613,3.397687535,3.330932724,3.028285541,2.747106054,2.631765063,2.494067638,2.384652804,2.323751863,2.240369269,2.107746513,1.918044199,1.763319561,1.681159712,1.510573237,1.398429124,1.402290858,1.375930803,1.348866952,1.354238911,1.407273215,1.364081963,1.441137296,1.627908677,1.708971675,1.795903932,1.858701991,1.898394281,1.943102134,1.966715818,1.97904881,1.999946051,1.993431689,1.957002471,1.903325428,1.839444886,1.732456728,1.657703201,1.628339254,1.554019324
Algeria,DZA,"Population, total",SP.POP.TOTL,20682111,21393530,22132905,22882553,23586101,24243018,24889507,25518074,26133905,26748303,27354327,27937006,28478022,28984634,29476031,29924668,30346083,30774621,31200985,31624696,32055883,32510186,32956690,33435080,33983827,34569592,35196037,35856344,36543541,37260563,38000626,38760168,39543154,40339329,41136546,41927007,42705368,43451666,44177969,44903225,45606480
Algeria,DZA,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.230279997,0.366400003,0.196229994,0.163570002,0.066040002,..,..,..,..,..,..,..,..,..,..,..,0.534319997,..,..,..,..,..,..
Algeria,DZA,Scientific and technical journal articles,IP.JRN.ARTC.SC,..,..,..,..,..,..,..,..,..,..,..,..,..,224.92,258.62,300.8,311,381.8,447.43,488.66,624.4,844.82,889.58,1269.15,1385.81,1730.93,2086.28,2073.64,2394.55,2976.28,3369.99,3521.08,4019.83,4458.62,5120.48,5216.34,6058.88,5689.02,..,..,..
Algeria,DZA,Urban population,SP.URB.TOTL,9552860,10071860,10616712,11180415,11727481,12245391,12767819,13291089,13817257,14352337,14891422,15426535,15946838,16455736,16961687,17449972,17939997,18439845,18942742,19449504,19965686,20501248,21036255,21596721,22207751,22849463,23520104,24217375,24935851,25678117,26439316,27217778,28015534,28826081,29639704,30451166,31255632,32038217,32807002,33575039,34327085
Algeria,DZA,Value lost due to electrical outages (% of sales for affected firms),IC.FRM.OUTG.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Belgium,BEL,Gini index,SI.POV.GINI,..,..,25.2,..,..,25.7,..,..,..,25,..,..,28.4,..,26.8,..,..,33.1,..,..,28.1,30.5,29.3,28.1,29.2,28.4,28.6,28.4,28.1,27.5,27.7,28.1,27.7,27.6,27.4,27.2,27.2,26,26.6,..,..
Belgium,BEL,Adolescents out of school (% of lower secondary school age),SE.SEC.UNER.LO.ZS,..,..,..,..,..,..,..,..,..,..,0.389600009,0.158409998,0.325150013,0.383679986,..,..,1.093469977,0.595879972,0.205119997,0.222760007,0.227850005,0.259939998,0.324779987,0.45629999,0.643440008,0.822939992,1.008170009,1.280609965,1.90921998,1.735890031,1.721860051,1.613669991,1.633350015,1.676920056,0.891960025,0.897210002,0.882889986,0.96351999,1.131710052,..,..
Belgium,BEL,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,847,847,847,847,847,847,847,847,847,847,847,847,847,847,847,847,847,847,847,847,847,847,847,847,847,847,847,847,847,847,847,847,847,847,847,847,847,847,..,..,..
Belgium,BEL,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..,125.5765909,127.330165,124.1013347,126.0056648,115.1211711,109.6474721,108.9175914,108.3462015,102.1996084,98.09879706,96.75457719,89.37556635,83.47823149,91.30088439,95.9430278,93.2064544,95.57076435,104.0284993,101.564361,112.3041623,108.5816486,110.1821227,103.8647204,101.3831517,103.366617,119.2694365,108.0102876,94.03943214,..
Belgium,BEL,"Compulsory education, duration (years)",SE.COM.DURS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
Belgium,BEL,Control of Corruption: Estimate,CC.EST,..,..,..,..,..,..,..,..,..,..,..,..,..,1.359654307,..,1.313234091,..,1.446859002,..,1.45780158,1.375112772,1.360382557,1.377162457,1.301286578,1.347415328,1.36263752,1.452005267,1.473829985,1.519928932,1.559110403,1.604302645,1.512950301,1.474696517,1.531488061,1.403884411,1.429420352,1.448995948,1.445956349,1.455525041,1.495048642,..
Belgium,BEL,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,5043.975356,5285.543762,5502.668409,5617.419822,5876.962998,6057.062732,6205.76377,6380.31322,6655.414381,6850.663773,6881.072143,7176.240507,7379.737079,7527.688545,7701.612131,7913.05858,7944.129807,8247.677113,8267.187216,8311.892679,8411.900657,8576.223497,8509.997073,8683.671285,8614.679503,8521.49674,7903.955479,8393.949623,8028.798731,7988.524644,7989.671853,7709.123078,..,..,..,..,..,..,..,..,..
Belgium,BEL,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,32.14636874,33.79959024,26.54153113,24.18389129,24.16288286,25.11891666,26.36182843,28.24645763,27.02638159,25.94034449,26.71404921,27.45405868,26.2215028,24.23008331,20.91162456,20.57873896,15.02770914,19.36621845,16.2354677,15.64140896,13.89164802,13.61065996,12.24258829,10.92616304,9.515812083,8.656066425,6.855889362,6.346381337,6.119262139,6.695580794,6.278905603,6.156471148,6.108011733,..,..,..,..,..,..,..,..
Belgium,BEL,Expenditure on primary education (% of government expenditure on education),SE.XPD.PRIM.ZS,..,..,..,..,..,26.60909,..,..,..,..,19.63713,20.98051,20.21047,20.837,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,23.35235,23.1117,23.53562,23.81164,..,..,..,..,..,..,..
Belgium,BEL,Expenditure on secondary education (% of government expenditure on education),SE.XPD.SECO.ZS,..,..,..,49.96591,49.57968,49.80667,..,..,..,..,45.45689,46.5633,45.61383,44.67646,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,42.13146,..,..,..,..,..,..,..,..,..,..
Belgium,BEL,Expenditure on tertiary education (% of government expenditure on education),SE.XPD.TERT.ZS,..,..,..,19.14323,19.06874,19.52517,..,..,..,..,17.38212,20.43844,20.497,21.45639,..,..,..,..,..,..,..,..,21.69712,..,..,21.31581,22.42587,22.16835,21.9973,..,21.84376,22.49618,22.12875,22.2845,..,..,..,..,..,..,..
Belgium,BEL,GDP (constant 2015 US$),NY.GDP.MKTP.KD,2.42007E+11,2.47976E+11,2.52072E+11,2.56667E+11,2.62587E+11,2.7499E+11,2.84529E+11,2.93456E+11,2.98835E+11,3.0341E+11,3.00491E+11,3.10188E+11,3.17585E+11,3.21782E+11,3.33989E+11,3.40541E+11,3.52606E+11,3.65711E+11,3.69733E+11,3.76044E+11,3.79947E+11,3.93515E+11,4.02652E+11,4.12929E+11,4.28112E+11,4.30025E+11,4.21336E+11,4.33404E+11,4.40748E+11,4.44006E+11,4.46045E+11,4.53086E+11,4.62336E+11,4.68192E+11,4.75775E+11,4.84305E+11,4.95158E+11,4.68892E+11,5.01377E+11,5.16492E+11,5.23542E+11
Belgium,BEL,GDP (current US$),NY.GDP.MKTP.CD,87184239053,83349530159,86268264148,1.20019E+11,1.49394E+11,1.62299E+11,1.64221E+11,2.05332E+11,2.10511E+11,2.34782E+11,2.24722E+11,2.44884E+11,2.88026E+11,2.79201E+11,2.52708E+11,2.58528E+11,2.58246E+11,2.36792E+11,2.36746E+11,2.58384E+11,3.18083E+11,3.69215E+11,3.85715E+11,4.0826E+11,4.70922E+11,5.17328E+11,4.83254E+11,4.81421E+11,5.2333E+11,4.96153E+11,5.21791E+11,5.3539E+11,4.62336E+11,4.76063E+11,5.02765E+11,5.43299E+11,5.35866E+11,5.26022E+11,6.00904E+11,5.83614E+11,6.32217E+11
Belgium,BEL,Individuals using the Internet (% of population),IT.NET.USER.ZS,..,..,..,..,..,..,..,0.00100674,0.020072645,0.100041027,0.199446059,0.69599469,0.99166299,2.968411647,4.93808091,7.886622701,13.77221446,29.43169169,31.28839551,46.33,49.97,53.86,55.82,61.98187002,66.76042024,68.85732214,74.54414555,77.63978551,81.609996,80.71999055,82.1702,85,85.05294175,86.51647666,87.67968082,88.647343,90.27542801,91.52641629,92.78867618,94.00783071,..
Belgium,BEL,"International tourism, number of arrivals",ST.INT.ARVL,..,..,..,..,..,..,..,..,..,..,..,..,5560000,5829000,6037000,6179000,6369000,6457000,6452000,6720000,6690000,6710000,6747000,6995000,7045000,7165000,6815000,7186000,7494000,7560000,7684000,7887000,8355000,7481000,8385000,9119000,9343000,2584000,..,..,..
Belgium,BEL,"Labor force, total",SL.TLF.TOTL.IN,..,..,..,..,..,..,..,..,4035746,4081207,4106266,4171786,4202026,4205314,4229113,4269462,4371569,4416525,4315763,4365043,4402418,4485839,4626679,4646803,4728844,4777353,4797213,4893955,4876780,4910968,4962050,4978926,4989597,4997187,5086330,5144068,5194405,5167188,5259744,5374303,5432007
